,customer_code,dispatch_weight,order_value_weight,final_weights,new_shift
1828,5192,8.926021136818051e-05,5.097977657605338e-05,1.2739236712056997e-05,evng
3819,17176,7.3958460847921e-05,6.145187738570077e-05,1.2723617024441613e-05,evng
6751,23538,3.0603501040519036e-05,0.00014801633631936502,1.2681433006915518e-05,evng
4782,19546,8.160933610805074e-05,5.544650695513937e-05,1.2667811871827519e-05,mrng
426,1787,0.00010456196188844002,4.310227707555444e-05,1.2617156977181882e-05,both
2613,7355,0.00015301750520259515,2.9447604134941307e-05,1.2614750112639071e-05,evng
6454,23125,8.415962786142735e-05,5.352372887676964e-05,1.2610657694958903e-05,both
5731,21751,4.845554331415513e-05,9.291630437522601e-05,1.2604422846837243e-05,both
1274,3792,0.0001249642959154527,3.575854188124102e-05,1.2509884980624966e-05,evng
44,1116,7.3958460847921e-05,6.0279915203084965e-05,1.2480962143694193e-05,both
4355,18527,0.0001300648794222059,3.41728685290597e-05,1.2443113058642827e-05,mrng
463,1836,9.946137838168685e-05,4.464263404256997e-05,1.243059318692478e-05,mrng
2194,6072,0.00011476312890194637,3.8601244760996205e-05,1.2401986621697598e-05,evng
832,2636,7.3958460847921e-05,5.9850649942736916e-05,1.239208273094192e-05,both
6463,23143,9.946137838168685e-05,4.4426971990578503e-05,1.2370542804780954e-05,both
5103,20330,0.00013771575468233565,3.208380427060736e-05,1.236963980206014e-05,mrng
484,1868,9.946137838168685e-05,4.4392400877669857e-05,1.2360916593205336e-05,both
4507,18889,7.3958460847921e-05,5.967374944158239e-05,1.2355455465447738e-05,mrng
2793,7823,9.691108662831026e-05,4.5503310707691144e-05,1.2345367649892844e-05,mrng
1798,5090,9.691108662831026e-05,4.5495351785653685e-05,1.2343208338468658e-05,mrng
366,1704,0.00011476312890194637,3.838840543455368e-05,1.2333604617556153e-05,evng
5911,22131,0.0001683192557228547,2.611158631511426e-05,1.23042352916183e-05,mrng
3966,17540,9.946137838168685e-05,4.413743164490284e-05,1.2289921257117261e-05,mrng
2763,7710,0.00010456196188844002,4.198326282217875e-05,1.228959241557424e-05,mrng
6150,22633,4.335495980740196e-05,0.0001012044158672393,1.2283604341448938e-05,mrng
419,1776,6.630758558779124e-05,6.613468449553153e-05,1.2276655505671237e-05,evng
4595,19092,6.120700208103807e-05,7.140812510127989e-05,1.2235910942525458e-05,evng
6492,23177,9.946137838168685e-05,4.390341460177743e-05,1.2224759988650776e-05,both
2201,6088,8.670991961480392e-05,5.0300554603307455e-05,1.2210378482160423e-05,evng
318,1623,0.00017341983922960783,2.5117193939710957e-05,1.2194316616681231e-05,both
1911,5380,0.0001326151711755825,3.271736793009263e-05,1.2146723257058309e-05,evng
3976,17564,5.1005835067531715e-05,8.503404698166265e-05,1.2142281013475088e-05,evng
5763,21827,7.650875260129757e-05,5.668702208323877e-05,1.2141779258727717e-05,evng
5786,21882,4.845554331415513e-05,8.940261489726457e-05,1.2127778535265621e-05,mrng
6573,23289,8.670991961480392e-05,4.994406910170055e-05,1.2123842201748578e-05,mrng
4677,19279,0.00011221283714856977,3.8554844391019085e-05,1.2111810476108767e-05,evng
468,1848,0.00010456196188844002,4.136623538736546e-05,1.2108972445297022e-05,evng
1669,4826,7.650875260129757e-05,5.64314344698747e-05,1.2087035010949544e-05,evng
1748,4950,7.140816909454442e-05,6.041501317587816e-05,1.207759163340196e-05,evng
5565,21394,0.00011476312890194637,3.757267412624006e-05,1.2071522686384143e-05,mrng
